id;codigo;nombre;cantidad;precio_base;precio_total;tipo_iva;tipo_producto
1;actitud;Dinánmico;81998;32882;20622;B;BOLLERIA
2;Dinánmico Inteligente Borders;Granito Ladrillo estable;46039;19378;63073;A;PLATOS_PREPARADOS
3;sensor Dinánmico;Gorro Canada;88711;94847;78123;C;PLATOS_PREPARADOS
4;Juguetería;Gabón Guadalupe;15613;50041;44003;B;CONGELADOS
5;calculating Ladrillo North;payment;37270;87206;23088;B;LEGUMBRES
6;application;primary scalable innovative;95544;72186;28300;B;HIGIENE_HOGAR
7;B2B PCI;Negro Edificio Queso;7688;80242;81508;C;BEBIDAS
8;Global Estratega circuit;cross-platform;82547;36444;65224;C;CHARCUTERIA
9;Berkshire Franc;Navarra terciaria generating;59275;18626;64356;A;PLATOS_PREPARADOS
10;leverage Algodón previsión;CSS red;63574;30011;37256;A;LACTEOS
